distance,track,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish,winloss
800.0,1,4,120035,957712,107,4.4,6,57.89,56.68,53.78,4,0
800.0,1,6,142413,250678,110,13.9,2,56.81,55.99,53.92,3,1
800.0,1,5,152588,38601,104,11.1,1,57.72,56.59,53.64,6,0
800.0,1,7,122644,224590,105,3.9,7,57.02,56.25,53.7,5,0
800.0,1,4,102032,6363,114,3.1,5,56.28,55.82,54.15,1,1
800.0,1,6,123440,190204,112,9.1,3,57.37,56.5,54.01,2,1
800.0,1,7,163211,835,103,7.4,4,56.84,56.33,53.58,8,0
800.0,1,7,137099,6363,103,4.3,8,56.11,55.65,53.6,7,0
800.0,0,3,122587,6363,98,2.5,2,56.39,55.02,54.78,1,1
800.0,0,3,102369,531,90,22.7,7,56.01,54.75,54.36,4,0
800.0,0,3,15722,12068,85,4.7,5,54.4,54.23,54.11,7,0
800.0,0,3,160005,2216,84,24.1,9,56.35,55.03,54.09,8,0
800.0,0,3,152588,1257,89,7.4,4,55.63,54.67,54.32,5,0
800.0,0,3,17432,624,80,22.0,3,55.6,54.77,53.86,9,0
800.0,0,3,137099,1257,94,6.7,1,55.98,54.85,54.59,2,1
800.0,0,3,135108,1828,91,7.9,6,55.43,54.65,54.42,3,1
800.0,0,3,502,15262,87,3.1,8,55.09,54.48,54.24,6,0
600.0,1,5,163211,6363,89,16.2,7,58.95,57.72,54.97,9,0
600.0,1,6,162748,257611,95,2.7,4,58.88,57.7,55.3,4,0
600.0,1,9,102032,94,95,6.8,9,56.67,56.9,55.26,5,0
600.0,1,7,502,15262,94,7.4,2,58.92,57.61,55.25,6,0
600.0,1,5,3752,197412,101,6.4,3,58.85,57.6,55.6,2,1
600.0,1,5,1452,257611,92,5.2,6,57.2,56.72,55.12,7,0
600.0,1,7,153873,835,105,4.3,5,58.49,57.42,55.81,1,1
600.0,1,4,17432,1781,96,14.3,1,58.45,57.25,55.36,3,1
600.0,1,4,122644,298,91,14.2,8,57.56,56.63,55.06,8,0
500.0,1,2,1452,224590,74,23.3,1,59.41,56.97,55.13,2,1
500.0,1,2,160005,2185,62,16.4,5,58.22,55.74,54.55,6,0
500.0,1,2,114312,26392,67,6.3,4,59.37,56.71,54.78,5,0
500.0,1,2,74725,9629,38,14.6,6,59.33,56.52,53.34,8,0
500.0,1,2,102032,1127,37,18.4,9,57.86,55.73,53.28,9,0
500.0,1,2,123440,1392,67,4.4,8,57.68,55.71,54.8,4,0
500.0,1,2,160773,2216,40,38.8,2,57.64,54.93,53.44,7,0
500.0,1,2,122587,6363,81,1.7,3,58.97,56.54,55.51,1,1
500.0,1,2,137099,94,73,2.8,7,58.25,55.83,55.13,3,1
850.0,0,4,1811,531,105,9.0,7,53.96,53.47,54.58,3,1
850.0,0,4,502,1257,94,2.6,8,53.1,53.44,54.03,10,0
850.0,0,4,102032,946429,100,11.0,5,51.92,52.51,54.32,8,0
850.0,0,5,74725,38601,102,13.2,6,54.32,53.73,54.45,6,0
