distance,purse,track,age,odds,pp_start,j_starts,j_first,j_second,j_third,j_total_win_amt,j_win_perc,j_top_3,j_top_3_perc,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3,winloss
800.0,26000.0,1,4,4.4,6,5,0,1,0,8595,0.0,1,0.2,7,0,0,0,3630,0.0,0.0,0
800.0,26000.0,1,6,13.9,2,15,0,1,3,27995,0.0,4,0.27,3,0,1,1,7465,0.0,0.67,1
800.0,26000.0,1,5,11.1,1,42,10,3,5,683730,0.24,18,0.43,24,2,4,4,179100,0.08,0.42,0
800.0,26000.0,1,7,3.9,7,45,2,5,3,252680,0.04,10,0.22,5,0,2,1,23065,0.0,0.6,0
800.0,26000.0,1,4,3.1,5,51,4,7,7,312568,0.08,18,0.35,51,9,9,5,435875,0.18,0.45,1
800.0,26000.0,1,6,9.1,3,28,3,1,1,66200,0.11,5,0.18,13,1,2,1,29790,0.08,0.31,1
800.0,26000.0,1,7,7.4,4,63,9,6,5,314435,0.14,20,0.32,39,10,8,1,555914,0.26,0.49,0
800.0,26000.0,1,7,4.3,8,52,13,8,4,816020,0.25,25,0.48,51,9,9,5,435875,0.18,0.45,0
800.0,42000.0,0,3,2.5,2,35,7,7,4,374120,0.2,18,0.51,51,9,9,5,435875,0.18,0.45,1
800.0,42000.0,0,3,22.7,7,15,1,1,3,79825,0.07,5,0.33,14,1,2,3,85955,0.07,0.43,0
800.0,42000.0,0,3,4.7,5,7,0,0,1,11685,0.0,1,0.14,5,1,0,0,41130,0.2,0.2,0
800.0,42000.0,0,3,24.1,9,40,4,4,4,237110,0.1,12,0.3,7,0,0,0,3325,0.0,0.0,0
800.0,42000.0,0,3,7.4,4,42,10,3,5,683730,0.24,18,0.43,44,13,5,2,616845,0.3,0.45,0
800.0,42000.0,0,3,22.0,3,9,1,1,2,34975,0.11,4,0.44,8,1,0,1,25320,0.13,0.25,0
800.0,42000.0,0,3,6.7,1,52,13,8,4,816020,0.25,25,0.48,44,13,5,2,616845,0.3,0.45,1
